"","JLKMOVE","JHSPRBQ","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JLFSATO"
"1",1,2,"YES",NA,"YES",NA,1,6
"2",1,2,"YES",NA,"YES",NA,1,5
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5",1,2,"NO",2,"YES",NA,1,5
"6",1,2,"NO",2,"YES",NA,1,6
"7",1,2,"NO",2,"YES",NA,1,1
"8",NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,"YES",NA,"NO",2,1,6
"10",1,1,"YES",NA,"NO",2,1,5
"11",1,1,"YES",NA,"NO",2,1,6
"12",2,2,"YES",NA,"YES",NA,1,6
"13",1,1,"YES",NA,"YES",NA,1,4
"14",NA,1,"YES",NA,"YES",NA,1,NA
"15",NA,2,"YES",NA,"YES",NA,1,NA
"16",1,2,"YES",NA,"YES",NA,1,5
"17",1,2,"NO",2,"YES",NA,2,7
"18",1,1,"NO",2,"YES",NA,1,7
"19",2,2,"YES",NA,"YES",NA,1,6
"20",2,2,"YES",NA,"YES",NA,1,6
"21",1,2,"YES",NA,"YES",NA,1,5
"22",2,2,"YES",NA,"YES",NA,1,5
"23",1,2,"NO",1,"YES",NA,1,7
"24",2,1,"YES",NA,"YES",NA,1,4
"25",1,1,"YES",NA,"YES",NA,1,3
"26",2,2,"YES",NA,"YES",NA,1,5
"27",1,2,"YES",NA,"YES",NA,1,5
"28",1,2,"YES",NA,"YES",NA,1,5
"29",1,2,"NO",1,"YES",NA,1,5
"30",1,2,"NO",1,"YES",NA,1,4
"31",1,1,"NO",1,"YES",NA,1,1
"32",2,1,"NO",1,"YES",NA,1,3
"33",2,2,"NO",1,"YES",NA,2,4
"34",2,2,"NO",1,"YES",NA,2,3
"35",2,2,"NO",1,"YES",NA,2,4
"36",1,2,"YES",NA,"YES",NA,1,7
"37",NA,2,"YES",NA,"YES",NA,1,NA
"38",1,2,"YES",NA,"YES",NA,1,6
"39",1,2,"YES",NA,"YES",NA,1,4
"40",2,2,"YES",NA,"YES",NA,1,3
"41",2,2,"YES",NA,"YES",NA,1,5
"42",1,2,"NO",1,"YES",NA,1,6
"43",1,2,"NO",1,"YES",NA,1,5
"44",1,2,"NO",1,"YES",NA,1,3
"45",2,2,"YES",NA,"YES",NA,1,5
"46",2,2,"YES",NA,"YES",NA,1,6
"47",1,2,"YES",NA,"YES",NA,1,5
"48",1,2,"YES",NA,"YES",NA,1,6
"49",1,2,"YES",NA,"YES",NA,1,7
"50",2,2,"YES",NA,"YES",NA,1,6
"51",2,2,"YES",NA,"YES",NA,1,5
"52",1,2,"YES",NA,"YES",NA,1,5
"53",1,2,"YES",NA,"NO",2,2,6
"54",1,2,"NO",2,"YES",NA,2,1
"55",1,2,"YES",NA,"YES",NA,2,7
"56",1,2,"YES",NA,"YES",NA,2,6
"57",2,1,"NO",1,"YES",NA,2,2
"58",2,2,"YES",NA,"YES",NA,1,5
"59",2,2,"YES",NA,"YES",NA,1,5
"60",1,1,"YES",NA,"YES",NA,1,1
"61",2,1,"YES",NA,"YES",NA,1,4
"62",1,1,"YES",NA,"YES",NA,1,5
"63",2,2,"YES",NA,"YES",NA,2,4
"64",1,2,"YES",NA,"YES",NA,2,7
"65",1,1,"YES",NA,"YES",NA,1,4
"66",1,2,"YES",NA,"YES",NA,2,6
"67",1,2,"YES",NA,"YES",NA,1,2
"68",1,2,"YES",NA,"YES",NA,2,2
"69",2,2,"YES",NA,"YES",NA,1,6
"70",NA,2,"YES",NA,"YES",NA,1,NA
"71",2,2,"YES",NA,"YES",NA,1,6
"72",2,1,"NO",1,"YES",NA,2,6
"73",NA,2,"NO",2,"YES",NA,1,NA
"74",2,2,"NO",2,"YES",NA,1,2
"75",1,2,"YES",NA,"YES",NA,1,5
"76",1,2,"YES",NA,"YES",NA,1,6
"77",1,1,"YES",NA,"YES",NA,1,5
"78",NA,1,"YES",NA,"YES",NA,1,NA
"79",2,1,"NO",1,"NO",1,1,4
"80",2,1,"NO",1,"NO",1,1,6
"81",1,1,"YES",NA,"YES",NA,2,6
"82",1,1,"YES",NA,"YES",NA,2,6
"83",2,2,"YES",NA,"YES",NA,1,5
"84",2,2,"YES",NA,"YES",NA,1,5
"85",1,2,"YES",NA,"NO",2,2,5
"86",2,1,"YES",NA,"YES",NA,1,5
"87",2,1,"YES",NA,"YES",NA,1,5
"88",2,1,"YES",NA,"YES",NA,2,4
"89",2,1,"YES",NA,"YES",NA,2,6
"90",1,1,"YES",NA,"YES",NA,2,1
"91",1,2,"NO",2,"YES",NA,2,6
"92",2,2,"NO",2,"YES",NA,2,4
"93",1,1,"NO",1,"YES",NA,2,6
"94",1,1,"NO",1,"YES",NA,2,7
"95",2,2,"YES",NA,"YES",NA,2,4
"96",2,2,"YES",NA,"YES",NA,2,7
"97",2,2,"YES",NA,"YES",NA,2,4
"98",2,2,"YES",NA,"YES",NA,2,5
"99",1,2,"NO",2,"NO",2,2,5
"100",1,1,"YES",NA,"YES",NA,1,6
"101",2,1,"YES",NA,"YES",NA,1,4
"102",2,2,"YES",NA,"YES",NA,2,7
"103",2,1,"NO",1,"YES",NA,1,5
"104",2,1,"NO",1,"YES",NA,1,4
"105",NA,1,"NO",1,"YES",NA,1,NA
"106",2,2,"NO",1,"NO",1,1,7
"107",2,2,"NO",1,"NO",1,1,1
"108",2,2,"NO",1,"NO",1,1,6
"109",2,2,"NO",1,"NO",1,1,5
"110",1,1,"YES",NA,"YES",NA,2,7
"111",1,1,"YES",NA,"YES",NA,2,6
"112",1,2,"NO",1,"YES",NA,2,5
"113",1,2,"NO",1,"YES",NA,2,5
"114",2,2,"NO",1,"YES",NA,2,6
"115",1,2,"NO",1,"YES",NA,2,4
"116",1,2,"NO",2,"NO",1,2,4
"117",2,1,"YES",NA,"YES",NA,1,7
"118",2,1,"YES",NA,"YES",NA,1,7
"119",2,1,"YES",NA,"YES",NA,1,4
"120",1,2,"YES",NA,"NO",2,1,5
"121",1,2,"YES",NA,"NO",2,1,7
"122",1,2,"YES",NA,"NO",2,1,4
"123",1,2,"YES",NA,"NO",2,1,6
"124",1,2,"YES",NA,"NO",2,1,7
"125",2,1,"NO",2,"YES",NA,1,4
"126",2,2,"NO",2,"YES",NA,2,4
"127",1,1,"YES",NA,"YES",NA,2,6
"128",1,1,"YES",NA,"YES",NA,2,6
"129",1,2,"YES",NA,"YES",NA,2,6
"130",2,2,"NO",2,"YES",NA,1,5
"131",1,1,"NO",2,"YES",NA,2,5
"132",2,1,"NO",2,"YES",NA,2,5
"133",2,2,"NO",2,"NO",2,1,3
"134",NA,2,"NO",2,"NO",2,1,NA
"135",1,2,"YES",NA,"YES",NA,1,4
"136",1,2,"YES",NA,"YES",NA,1,5
"137",1,2,"YES",NA,"YES",NA,1,5
"138",1,2,"YES",NA,"YES",NA,1,5
"139",1,2,"YES",NA,"YES",NA,1,6
"140",1,2,"NO",2,"YES",NA,1,5
"141",1,2,"NO",2,"YES",NA,1,6
"142",1,2,"YES",NA,"YES",NA,1,5
"143",1,2,"YES",NA,"YES",NA,1,6
"144",1,2,"YES",NA,"YES",NA,1,6
"145",1,2,"YES",NA,"YES",NA,1,7
"146",1,2,"YES",NA,"YES",NA,1,4
"147",1,2,"YES",NA,"YES",NA,1,5
"148",1,2,"YES",NA,"YES",NA,1,3
"149",2,2,"YES",NA,"YES",NA,1,4
"150",1,2,"YES",NA,"YES",NA,1,5
"151",1,2,"YES",NA,"YES",NA,1,5
"152",2,2,"YES",NA,"YES",NA,1,6
"153",2,2,"YES",NA,"YES",NA,1,6
"154",1,2,"YES",NA,"YES",NA,1,7
"155",1,2,"YES",NA,"YES",NA,1,5
"156",1,2,"YES",NA,"YES",NA,1,5
"157",1,2,"YES",NA,"YES",NA,1,5
"158",2,2,"YES",NA,"YES",NA,1,6
"159",1,2,"YES",NA,"YES",NA,1,5
"160",1,2,"YES",NA,"YES",NA,1,6
"161",NA,2,"YES",NA,"YES",NA,1,NA
"162",2,2,"YES",NA,"YES",NA,1,4
"163",1,2,"YES",NA,"YES",NA,1,6
"164",1,2,"YES",NA,"YES",NA,1,5
"165",1,2,"YES",NA,"YES",NA,1,3
"166",1,2,"YES",NA,"YES",NA,1,2
"167",1,1,"YES",NA,"YES",NA,1,5
"168",NA,2,"YES",NA,"YES",NA,2,NA
"169",1,2,"YES",NA,"YES",NA,2,6
"170",NA,2,"YES",NA,"YES",NA,1,NA
"171",1,2,"YES",NA,"YES",NA,1,5
"172",1,1,"YES",NA,"YES",NA,1,6
"173",1,2,"YES",NA,"YES",NA,1,5
"174",1,2,"YES",NA,"YES",NA,1,5
"175",1,1,"NO",1,"YES",NA,2,3
"176",1,1,"NO",1,"YES",NA,2,3
"177",1,1,"NO",1,"YES",NA,2,5
"178",1,2,"NO",2,"YES",NA,2,6
"179",1,2,"NO",2,"YES",NA,2,NA
"180",2,2,"YES",NA,"YES",NA,1,5
"181",2,2,"YES",NA,"YES",NA,1,4
"182",1,2,"YES",NA,"YES",NA,1,5
"183",1,2,"YES",NA,"YES",NA,1,6
"184",2,1,"YES",NA,"YES",NA,1,6
"185",2,2,"NO",1,"NO",1,2,1
"186",1,2,"YES",NA,"YES",NA,1,6
"187",1,2,"YES",NA,"YES",NA,1,5
"188",2,2,"YES",NA,"YES",NA,2,5
"189",1,2,"YES",NA,"YES",NA,2,6
"190",NA,2,"YES",NA,"YES",NA,2,NA
"191",2,2,"YES",NA,"YES",NA,2,4
"192",1,2,"YES",NA,"YES",NA,1,7
"193",1,2,"YES",NA,"YES",NA,1,4
"194",1,2,"YES",NA,"YES",NA,1,2
"195",NA,2,"YES",NA,"YES",NA,1,NA
"196",1,2,"YES",NA,"YES",NA,1,5
"197",NA,2,"YES",NA,"YES",NA,1,NA
"198",1,2,"YES",NA,"YES",NA,1,5
"199",2,1,"YES",NA,"YES",NA,1,7
"200",2,2,"YES",NA,"YES",NA,1,5
"201",1,2,"YES",NA,"NO",1,2,6
"202",1,2,"NO",2,"YES",NA,2,5
"203",1,2,"YES",NA,"YES",NA,1,6
"204",1,2,"YES",NA,"YES",NA,1,6
"205",1,2,"YES",NA,"YES",NA,1,4
"206",2,2,"YES",NA,"YES",NA,1,4
"207",2,1,"YES",NA,"NO",1,2,5
"208",2,1,"YES",NA,"NO",1,2,6
"209",1,1,"YES",NA,"YES",NA,2,3
"210",2,1,"YES",NA,"YES",NA,2,6
"211",2,1,"YES",NA,"YES",NA,2,6
"212",1,1,"YES",NA,"YES",NA,2,5
"213",1,1,"NO",2,"NO",2,2,6
"214",2,1,"NO",2,"NO",2,2,5
"215",1,1,"NO",2,"NO",2,2,6
"216",1,2,"NO",2,"YES",NA,2,4
"217",1,2,"NO",2,"YES",NA,2,5
"218",2,2,"NO",2,"YES",NA,2,3
"219",2,2,"YES",NA,"YES",NA,1,NA
"220",1,2,"YES",NA,"YES",NA,1,3
"221",1,1,"NO",2,"YES",NA,2,5
